Код_товара	Название_позиции	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Количество	Номер_группы	Название_группы	Адрес_подраздела	Возможность_поставки	Срок_поставки	Способ_упаковки	Уникальный_идентификатор	Идентификатор_товара	Идентификатор_подраздела	Идентификатор_группы	Производитель	Страна_производитель	Скидка	ID_группы_разновидностей	Метки	Продукт_на_сайте	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики
1.011	 Амортизатор Indesit на гайке, 80N	r	142	UAH	шт.				https://images.ua.prom.st/1252155372_w640_h640_img_20180730_115225.jpg, https://images.ua.prom.st/1252155295_w640_h640_img_20180730_115215.jpg, https://images.ua.prom.st/1252155133_w640_h640_img_20180730_115207.jpg, https://images.ua.prom.st/1252155077_w640_h640_img_20180730_115157.jpg	-		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				555905672		64403		Indesit					https://mastermy.kiev.ua/p555905672-amortizator-indesit-gajke.html	Вид запчасти		Амортизатор	Состояние		новый						
23.0013	 Ручка дверки (люка) Bosch 751782 (не оригинал) 	r	354	UAH	шт.				https://images.ua.prom.st/988110112_w640_h640_img_20171129_162151.jpg, https://images.ua.prom.st/988109890_w640_h640_img_20171129_162140.jpg	-		23196209	Ручка двери(люка)	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				620394907		64403							https://mastermy.kiev.ua/p620394907-ruchka-dverki-lyuka.html												
23.0015	 Ручка дверки (люка) Bosch Siemens 751783 (не оригинал) 	r	350	UAH	шт.				https://images.ua.prom.st/988123422_w640_h640_img_20171129_163413.jpg, https://images.ua.prom.st/988123084_w640_h640_img_20171129_163358.jpg	-		23196209	Ручка двери(люка)	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				620396181		64403		Bosch					https://mastermy.kiev.ua/p620396181-ruchka-dverki-lyuka.html	Вид запчасти		Ручки, кнопки переключения программ	Состояние		новый						
10.0057	 Сальник 30*52/65*7/10 SKL 	r	35	UAH	шт.				https://images.ua.prom.st/1015652836_w640_h640_img_20171225_132501.jpg, https://images.ua.prom.st/1015652976_w640_h640_img_20171225_132509.jpg	-		14610575	Сальник	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				621243908		64403		SKL	Китай				https://mastermy.kiev.ua/p621243908-salnik-305265710-skl.html	Вид запчасти		Сальник	Состояние		новый						
10.0058	 Сальник 30*52/66*12/16.5 	r	48	UAH	шт.				https://images.ua.prom.st/1015670678_w640_h640_img_20171225_134203.jpg, https://images.ua.prom.st/1015670817_w640_h640_img_20171225_134210.jpg	-		14610575	Сальник	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				621251760		64403			Китай				https://mastermy.kiev.ua/p621251760-salnik-30526612165.html	Вид запчасти		Сальник	Состояние		новый						
10.0028	 Сальник 30*53,5*10/14,5 Inco	r	64	UAH	шт.				https://images.ua.prom.st/970781825_w640_h640_img_20171114_154436.jpg	-		14610575	Сальник	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				531352882		64403		Inco					https://mastermy.kiev.ua/p531352882-salnik-3053510145-inco.html	Вид запчасти		Сальник	Состояние		новый						
10.0056	 Сальник 30*60,55*10/12 SKL (Samsung) 	r	73	UAH	шт.				https://images.ua.prom.st/1015648584_w640_h640_img_20171225_131856.jpg, https://images.ua.prom.st/1015648680_w640_h640_img_20171225_131905.jpg	-		14610575	Сальник	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				621252665		64403							https://mastermy.kiev.ua/p621252665-salnik-3060551012-skl.html												
10.0063	 Сальник 35*62*11/12,5 	r	53	UAH	шт.				https://images.ua.prom.st/1015659474_w640_h640_img_20171225_133123.jpg, https://images.ua.prom.st/1015659721_w640_h640_img_20171225_133135.jpg	-		14610575	Сальник	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				621260003		64403		SKL	Китай				https://mastermy.kiev.ua/p621260003-salnik-356211125.html	Вид запчасти		Сальник	Состояние		новый						
10.0050	 Сальник 40*66*10/11,5 WLK	r	68	UAH	шт.				https://images.ua.prom.st/1015683714_w640_h640_img_20171225_135429.jpg, https://images.ua.prom.st/1015683803_w640_h640_img_20171225_135436.jpg	-		14610575	Сальник	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				621299411		64403							https://mastermy.kiev.ua/p621299411-salnik-406610115-wlk.html	Вид запчасти		Cальник	Состояние		новый						
4.0009	Активатор (ребро барабана) Indesit C00065463 (не оригинал)	r	77	UAH	шт.				https://images.ua.prom.st/1015844403_w640_h640_img_20171225_171542.jpg, https://images.ua.prom.st/1015844323_w640_h640_img_20171225_171529.jpg	-		25109862	Ребра (активаторы) барабана	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				631871463		64403							https://mastermy.kiev.ua/p631871463-aktivator-rebro-barabana.html												
